task,config_name,degree,mcd,les,intercept,spearman_rho,p_value,mean_abs_change,pct_no_change,pct_change_0
LCB,deg_3_mcd_0.9_ls_65_icpt_0.1,3,0.9,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_65_icpt_0.01,3,0.9,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_65_icpt_0.001,3,0.9,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_70_icpt_0.1,3,0.9,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_70_icpt_0.01,3,0.9,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_70_icpt_0.001,3,0.9,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_75_icpt_0.1,3,0.9,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_75_icpt_0.01,3,0.9,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_75_icpt_0.001,3,0.9,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_80_icpt_0.1,3,0.9,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_80_icpt_0.01,3,0.9,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.9_ls_80_icpt_0.001,3,0.9,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_65_icpt_0.1,3,0.95,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_65_icpt_0.01,3,0.95,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_65_icpt_0.001,3,0.95,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_70_icpt_0.1,3,0.95,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_70_icpt_0.01,3,0.95,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_70_icpt_0.001,3,0.95,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_75_icpt_0.1,3,0.95,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_75_icpt_0.01,3,0.95,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_75_icpt_0.001,3,0.95,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_80_icpt_0.1,3,0.95,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_80_icpt_0.01,3,0.95,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.95_ls_80_icpt_0.001,3,0.95,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_65_icpt_0.1,3,0.975,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_65_icpt_0.01,3,0.975,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_65_icpt_0.001,3,0.975,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_70_icpt_0.1,3,0.975,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_70_icpt_0.01,3,0.975,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_70_icpt_0.001,3,0.975,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_75_icpt_0.1,3,0.975,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_75_icpt_0.01,3,0.975,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_75_icpt_0.001,3,0.975,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_80_icpt_0.1,3,0.975,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_80_icpt_0.01,3,0.975,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_3_mcd_0.975_ls_80_icpt_0.001,3,0.975,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_65_icpt_0.1,4,0.9,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_65_icpt_0.01,4,0.9,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_65_icpt_0.001,4,0.9,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_70_icpt_0.1,4,0.9,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_70_icpt_0.01,4,0.9,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_70_icpt_0.001,4,0.9,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_75_icpt_0.1,4,0.9,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_75_icpt_0.01,4,0.9,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_75_icpt_0.001,4,0.9,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_80_icpt_0.1,4,0.9,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_80_icpt_0.01,4,0.9,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.9_ls_80_icpt_0.001,4,0.9,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_65_icpt_0.1,4,0.95,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_65_icpt_0.01,4,0.95,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_65_icpt_0.001,4,0.95,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_70_icpt_0.1,4,0.95,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_70_icpt_0.01,4,0.95,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_70_icpt_0.001,4,0.95,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_75_icpt_0.1,4,0.95,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_75_icpt_0.01,4,0.95,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_75_icpt_0.001,4,0.95,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_80_icpt_0.1,4,0.95,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_80_icpt_0.01,4,0.95,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.95_ls_80_icpt_0.001,4,0.95,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_65_icpt_0.1,4,0.975,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_65_icpt_0.01,4,0.975,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_65_icpt_0.001,4,0.975,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_70_icpt_0.1,4,0.975,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_70_icpt_0.01,4,0.975,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_70_icpt_0.001,4,0.975,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_75_icpt_0.1,4,0.975,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_75_icpt_0.01,4,0.975,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_75_icpt_0.001,4,0.975,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_80_icpt_0.1,4,0.975,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_80_icpt_0.01,4,0.975,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_4_mcd_0.975_ls_80_icpt_0.001,4,0.975,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_65_icpt_0.1,5,0.9,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_65_icpt_0.01,5,0.9,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_65_icpt_0.001,5,0.9,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_70_icpt_0.1,5,0.9,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_70_icpt_0.01,5,0.9,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_70_icpt_0.001,5,0.9,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_75_icpt_0.1,5,0.9,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_75_icpt_0.01,5,0.9,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_75_icpt_0.001,5,0.9,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_80_icpt_0.1,5,0.9,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_80_icpt_0.01,5,0.9,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.9_ls_80_icpt_0.001,5,0.9,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_65_icpt_0.1,5,0.95,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_65_icpt_0.01,5,0.95,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_65_icpt_0.001,5,0.95,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_70_icpt_0.1,5,0.95,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_70_icpt_0.01,5,0.95,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_70_icpt_0.001,5,0.95,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_75_icpt_0.1,5,0.95,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_75_icpt_0.01,5,0.95,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_75_icpt_0.001,5,0.95,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_80_icpt_0.1,5,0.95,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_80_icpt_0.01,5,0.95,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.95_ls_80_icpt_0.001,5,0.95,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_65_icpt_0.1,5,0.975,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_65_icpt_0.01,5,0.975,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_65_icpt_0.001,5,0.975,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_70_icpt_0.1,5,0.975,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_70_icpt_0.01,5,0.975,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_70_icpt_0.001,5,0.975,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_75_icpt_0.1,5,0.975,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_75_icpt_0.01,5,0.975,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_75_icpt_0.001,5,0.975,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_80_icpt_0.1,5,0.975,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_80_icpt_0.01,5,0.975,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_5_mcd_0.975_ls_80_icpt_0.001,5,0.975,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_65_icpt_0.1,6,0.9,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_65_icpt_0.01,6,0.9,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_65_icpt_0.001,6,0.9,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_70_icpt_0.1,6,0.9,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_70_icpt_0.01,6,0.9,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_70_icpt_0.001,6,0.9,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_75_icpt_0.1,6,0.9,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_75_icpt_0.01,6,0.9,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_75_icpt_0.001,6,0.9,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_80_icpt_0.1,6,0.9,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_80_icpt_0.01,6,0.9,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.9_ls_80_icpt_0.001,6,0.9,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_65_icpt_0.1,6,0.95,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_65_icpt_0.01,6,0.95,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_65_icpt_0.001,6,0.95,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_70_icpt_0.1,6,0.95,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_70_icpt_0.01,6,0.95,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_70_icpt_0.001,6,0.95,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_75_icpt_0.1,6,0.95,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_75_icpt_0.01,6,0.95,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_75_icpt_0.001,6,0.95,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_80_icpt_0.1,6,0.95,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_80_icpt_0.01,6,0.95,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.95_ls_80_icpt_0.001,6,0.95,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_65_icpt_0.1,6,0.975,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_65_icpt_0.01,6,0.975,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_65_icpt_0.001,6,0.975,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_70_icpt_0.1,6,0.975,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_70_icpt_0.01,6,0.975,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_70_icpt_0.001,6,0.975,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_75_icpt_0.1,6,0.975,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_75_icpt_0.01,6,0.975,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_75_icpt_0.001,6,0.975,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_80_icpt_0.1,6,0.975,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_80_icpt_0.01,6,0.975,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_6_mcd_0.975_ls_80_icpt_0.001,6,0.975,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_65_icpt_0.1,7,0.9,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_65_icpt_0.01,7,0.9,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_65_icpt_0.001,7,0.9,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_70_icpt_0.1,7,0.9,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_70_icpt_0.01,7,0.9,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_70_icpt_0.001,7,0.9,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_75_icpt_0.1,7,0.9,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_75_icpt_0.01,7,0.9,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_75_icpt_0.001,7,0.9,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_80_icpt_0.1,7,0.9,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_80_icpt_0.01,7,0.9,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.9_ls_80_icpt_0.001,7,0.9,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_65_icpt_0.1,7,0.95,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_65_icpt_0.01,7,0.95,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_65_icpt_0.001,7,0.95,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_70_icpt_0.1,7,0.95,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_70_icpt_0.01,7,0.95,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_70_icpt_0.001,7,0.95,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_75_icpt_0.1,7,0.95,75,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_75_icpt_0.01,7,0.95,75,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_75_icpt_0.001,7,0.95,75,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_80_icpt_0.1,7,0.95,80,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_80_icpt_0.01,7,0.95,80,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.95_ls_80_icpt_0.001,7,0.95,80,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_65_icpt_0.1,7,0.975,65,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_65_icpt_0.01,7,0.975,65,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_65_icpt_0.001,7,0.975,65,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_70_icpt_0.1,7,0.975,70,0.1,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_70_icpt_0.01,7,0.975,70,0.01,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_70_icpt_0.001,7,0.975,70,0.001,1.0,0.0,0.0,100.0,100.0
LCB,deg_7_mcd_0.975_ls_75_icpt_0.1,7,0.975,75,0.1,1.0,0.0,0.0,100.0,100.0
